,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD
4936,4937,0.140625,99.19945,1.605523,6.54911,37.4629,-0.518616,0.229511,0.171574,0.189047,8.65237,0,0.753306,0.753306,2.48554,2.48554,441.262,441.262,327.139582,55.810325,0.026259337045019975
6461,6462,0.390625,103.4879,-0.614269,20.1807,28.5088,-1.75601,0.442626,0.218082,0.276117,8.70522,0,0.749055,0.749055,3.60983,3.60983,332.016,332.016,335.719736,56.542272,0.03921083350951702
4872,4873,1.60938,104.6404,1.1067,-18.8443,130.684,-2.2328,0.904567,0.563123,0.659502,8.7261,0,0.769017,0.769017,8.85215,8.85215,1604.16,1604.16,335.810201,58.612904,0.04996192321737597
6511,6512,0.125,104.2527,3.239916,-26.2303,20.7304,-2.24612,0.579965,0.333557,0.401095,8.72637,0,0.785875,0.785875,5.50155,5.50155,265.746,265.746,332.852331,60.173161,0.06083074374575574
3740,3741,1.6875,94.61055,0.050557,3.33428,259.414,0.715159,0.682036,0.571278,0.606039,8.60168,0,0.801921,0.801921,8.48254,8.48254,3462.65,3462.65,323.038647,51.615271,0.10397193076036929
3745,3746,1.15625,94.91977,1.200183,3.23696,187.562,1.20391,0.635452,0.542273,0.571706,8.58182,0,0.660097,0.660097,6.58677,6.58677,1696.34,1696.34,322.1235,52.664958,0.1180774621615218
3707,3708,3.4375,100.7876,1.106035,19.4181,522.129,-1.79258,1.25709,0.868692,0.982576,8.706,0,0.874099,0.874099,14.9916,14.9916,8280.4,8280.4,329.926368,56.406949,0.12423049345672076
4948,4949,0.1875,93.40006,-4.363381,9.8943,78.4382,1.25355,0.420786,0.353738,0.374807,8.58005,0,0.771452,0.771452,5.04662,5.04662,968.941,968.941,326.169294,47.512602,0.1288609343728145
2909,2910,1.39062,93.20481,-0.131198,11.0858,395.423,1.03442,0.703659,0.530586,0.582941,8.58878,0,0.844987,0.844987,8.59739,8.59739,5860.21,5860.21,321.611974,50.51732,0.14692785578516995
3700,3701,0.78125,98.84168,0.504812,-7.6689,142.459,-1.24708,0.465521,0.405165,0.42436,8.68271,0,0.894974,0.894974,6.62872,6.62872,2368.44,2368.44,327.87722,54.731917,0.1491077364265266
4934,4935,0.46875,95.60181,1.384212,46.7089,58.386,-0.0553416,0.689067,0.272338,0.371101,8.63315,0,0.893821,0.893821,5.78931,5.78931,968.192,968.192,322.737345,53.266729,0.16426014655246646
4891,4892,0.203125,93.82475,-4.755184,-8.75101,66.8763,1.64022,0.573983,0.441513,0.481869,8.5645,0,0.627667,0.627667,5.27893,5.27893,546.869,546.869,327.022217,47.486312,0.16684558247714878
