,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD,Md2
1388,1389,2.45312,110.7905,2.193397,-6.15954,1078.98,-9.75227,0.96845,0.574625,0.683831,9.07808,0,1.37304,1.37304,16.3881,16.3881,42221.3,42221.3,345.798165,62.485576,0.6461107146371932,22395.729956511415
588,589,1.17188,110.1134,-0.551946,-6.37401,1017.98,-48.5324,0.529225,0.471292,0.489862,11.4047,0,5.22344,5.22344,44.6599,44.6599,576506.0,576506.0,346.775133,59.697634,4.48454283189004,21129.567648758748
2869,2870,1.04688,92.28172,3.190489,-3.96415,814.672,-1.07689,1.43355,0.826497,0.993038,8.67503,0,1.43036,1.43036,24.7931,24.7931,34595.7,34595.7,316.767439,52.170964,0.6998145335766255,16909.525043542824
4360,4361,6.9375,91.78894,-0.015668,1.61532,755.735,-48.5589,1.9666,1.48787,1.63286,11.1901,0,7.01746,7.01746,200.043,200.043,772469.0,772469.0,319.915321,49.605253,6.278858770488292,15686.323532142373
732,733,1.0625,110.6318,-0.497935,16.6503,749.121,-51.7973,0.601385,0.387351,0.448526,11.6688,0,5.54223,5.54223,43.3868,43.3868,477610.0,477610.0,347.685521,59.94705,4.8044557420059935,15549.066523763873
2128,2129,1.875,108.6259,0.261604,10.4977,717.948,-53.4937,0.699646,0.557767,0.601536,11.7509,0,5.84113,5.84113,61.327,61.327,508439.0,508439.0,343.417338,59.821365,5.098556040860301,14902.018969449171
197,198,1.25,110.051,0.087927,7.15107,714.077,-53.0553,0.647319,0.45337,0.510514,11.753,0,5.7099,5.7099,50.8774,50.8774,483230.0,483230.0,346.154574,60.260611,4.970450732284295,14821.661269256101
1854,1855,1.8125,96.48035,1.699247,17.8431,710.599,-0.829187,1.079,0.569676,0.704842,8.66507,0,0.978549,0.978549,12.0386,12.0386,14123.5,14123.5,323.463605,54.094685,0.2390816601549216,14749.495963073294
4820,4821,1.54688,101.8742,3.25696,-12.3747,687.465,-2.85504,1.59437,0.925686,1.10962,8.75143,0,0.972234,0.972234,18.8311,18.8311,13487.9,13487.9,329.075054,58.772828,0.2244521652468503,14269.301946573834
628,629,1.29688,109.8302,1.737406,-19.4832,677.81,-10.8783,0.73203,0.475912,0.549365,9.12953,0,1.5232,1.5232,14.6053,14.6053,32642.0,32642.0,344.337874,61.672214,0.7899503596839735,14068.989268501517
1273,1274,2.23438,108.6465,-1.182739,-16.3562,618.536,-52.4385,0.908901,0.578198,0.67229,11.6678,0,5.72595,5.72595,67.1895,67.1895,420932.0,420932.0,344.662966,58.525492,4.984092751474133,12838.575520923147
1387,1388,1.5,110.469,1.36831,-2.61683,617.786,-10.1001,0.663594,0.50225,0.551122,9.09406,0,1.41969,1.41969,13.6562,13.6562,25845.0,25845.0,345.883219,61.60102,0.6903145860702866,12822.995503348187
2661,2662,3.21875,104.366,0.35718,26.9451,545.361,-56.0302,1.21996,0.636741,0.790844,11.8555,0,6.42061,6.42061,88.6281,88.6281,466646.0,466646.0,336.130214,57.832734,5.672048490223301,11319.701268420444
4830,4831,0.890625,94.98459,4.16913,7.17229,539.48,-3.07103,1.05369,0.927645,0.967888,8.75822,0,1.50192,1.50192,25.3742,25.3742,25259.4,25259.4,318.653356,54.812096,0.7624245244022787,11197.71550197786
3707,3708,3.4375,100.7876,1.106035,19.4181,522.129,-1.79258,1.25709,0.868692,0.982576,8.706,0,0.874099,0.874099,14.9916,14.9916,8280.4,8280.4,329.926368,56.406949,0.12423049345672076,10837.523941828578
3654,3655,1.35938,91.72072,1.771749,-1.08884,516.793,-2.50529,0.803871,0.590483,0.654436,8.73437,0,1.77152,1.77152,20.2353,20.2353,33663.5,33663.5,317.830747,50.796697,1.0390084024076665,10726.725032691302
2892,2893,2.3125,99.50352,0.80996,36.9636,477.076,-2.7151,1.3416,0.571774,0.759784,8.74472,0,1.0846,1.0846,14.3834,14.3834,11648.6,11648.6,328.444717,55.384183,0.33568891265326034,9902.26471695042
1814,1815,2.09375,102.7493,1.758276,1.47188,476.371,-19.7692,1.16333,0.552267,0.707945,9.54376,0,2.85332,2.85332,35.2574,35.2574,80500.7,80500.7,332.127677,58.09639,2.103749334479938,9887.777741702019
2273,2274,1.35938,92.82892,1.603445,3.29512,474.318,-7.22925,0.657161,0.535403,0.57325,8.93654,0,2.37206,2.37206,23.7336,23.7336,55395.5,55395.5,319.244004,51.481657,1.6335967712753858,9845.168341840972
1392,1393,1.23438,108.8248,1.215012,32.5744,457.437,-8.44326,0.723941,0.34788,0.444141,9.01071,0,1.31533,1.31533,10.1963,10.1963,16426.7,16426.7,342.9295,60.764821,0.5807158484015617,9494.691855002731
4831,4832,0.453125,93.33928,4.289406,19.7823,449.357,-2.82898,0.982351,0.599252,0.706581,8.74779,0,1.63524,1.63524,20.1671,20.1671,24940.6,24940.6,316.59221,53.690867,0.899880563112327,9327.041158473849
2304,2305,1.5625,97.73914,1.607076,26.617,447.138,-1.09688,0.886931,0.547534,0.643039,8.67629,0,0.93856,0.93856,10.534,10.534,8175.57,8175.57,325.182723,54.865604,0.19514681489993263,9280.982606458434
1825,1826,0.9375,108.8732,2.461686,2.51185,437.93,-11.1271,0.461921,0.437879,0.445751,9.13819,0,1.58972,1.58972,12.368,12.368,22971.9,22971.9,341.845962,61.899032,0.8527661294038222,9089.827486947472
2118,2119,1.28125,110.6575,1.211719,4.46519,428.848,-55.6207,0.663192,0.567391,0.597679,11.9779,0,5.95876,5.95876,62.1609,62.1609,316059.0,316059.0,346.377591,61.532984,5.2205088976260114,8901.360173464049
2846,2847,0.71875,93.9054,1.763471,-17.9223,396.221,-5.98781,0.754508,0.441504,0.527851,8.88281,0,2.06581,2.06581,19.0323,19.0323,35097.0,35097.0,320.284409,52.36014,1.3252323252486706,8224.116332461419
2909,2910,1.39062,93.20481,-0.131198,11.0858,395.423,1.03442,0.703659,0.530586,0.582941,8.58878,0,0.844987,0.844987,8.59739,8.59739,5860.21,5860.21,321.611974,50.51732,0.14692785578516995,8207.542198543506
3645,3646,2.29688,105.8318,0.669072,17.9754,390.118,-4.29007,0.878846,0.576395,0.663414,8.81677,0,0.977038,0.977038,11.3134,11.3134,7729.84,7729.84,338.208772,58.860467,0.23769735039758383,8097.437309282602
3401,3402,2.15625,99.07118,0.651097,30.9364,379.777,-41.9341,0.903393,0.509697,0.616832,10.789,0,5.4387,5.4387,58.5539,58.5539,233169.0,233169.0,328.027708,54.989913,4.6893271257942875,7882.80172150783
2863,2864,1.0,99.66967,1.747594,-42.0663,378.241,-2.8653,0.77506,0.340665,0.448053,8.75112,0,1.09676,1.09676,8.57682,8.57682,9443.67,9443.67,327.627952,56.218467,0.3476403174999425,7850.866579937841
4661,4662,1.01562,105.8562,3.554143,-0.554076,350.383,-9.15371,1.19943,1.01516,1.0732,9.03651,0,1.52788,1.52788,28.622,28.622,16977.6,16977.6,335.209416,61.328646,0.7839670802945076,7272.735701850445
