,Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,l,b
0,ASCC_107,17.0,216.9,6.67e-09,1.39e+34,3093.9,1.25,6.07,297.164,21.987,0.174,57,-0.155,-5.156,1.109,NN,7.23,1.69,9.7,870.0,449.0,744.0,-28.0,7925.0,[KPR2005] 107,297.164,21.987,58.90301571432032,-1.901557345076885
1,ASCC_127,18.2,108.7,1.14e-09,2.0899999999999998e+33,1616.2,0.43,2.78,347.205,64.974,0.627,117,7.474,-1.745,2.633,NN,7.26,0.43,7.88,376.0,-142.0,347.0,27.0,8490.0,[KPR2005] 127,347.2049,64.974,112.34957744165082,4.232104710808198
2,ASCC_16,13.5,161.4,3.91e-09,7.94e+33,2323.5,0.42,3.1,81.198,1.655,0.376,175,1.355,-0.015,2.838,NN,7.13,0.2,7.69,344.0,-305.0,-118.0,-108.0,8646.0,[KPR2005] 16,81.198,1.655,201.1395755873416,-18.373357827362863
3,ASCC_19,10.5,181.2,5.63e-09,1.18e+34,2584.6,0.96,4.28,81.982,-1.987,0.605,149,1.152,-1.234,2.768,NN,7.02,0.13,7.7,346.0,-296.0,-137.0,-115.0,8637.0,[KPR2005] 19,81.982,-1.987,204.91335623584658,-19.437912226928553
4,ASCC_21,8.9,45.6,5.39e-11,5.8999999999999995e+31,736.6,0.36,3.28,82.179,3.527,0.41,90,1.404,-0.632,2.866,NN,6.95,0.1,7.66,341.0,-307.0,-111.0,-97.0,8647.0,[KPR2005] 21,82.179,3.527,199.93794962574867,-16.598171867717564
5,ASCC_32,25.1,559.6,7.83e-09,1.4900000000000001e+34,8226.4,1.04,3.25,105.714,-26.512,0.656,186,-3.307,3.477,1.23,NN,7.4,0.26,9.53,805.0,-421.0,-673.0,-132.0,8787.0,[KPR2005] 32,105.714,-26.512,237.9763625212135,-9.432396088185605
6,ASCC_79,18.6,670.9,1.71e-08,3.49e+34,9637.9,1.53,4.54,229.731,-60.798,0.98,113,-2.914,-4.232,1.176,NN,7.27,0.41,9.58,825.0,631.0,-529.0,-41.0,7727.0,[KPR2005] 79,229.731,-60.798,319.97686296298536,-2.904127292787983
7,ASCC_9,29.5,594.8,6.04e-09,1.11e+34,8852.6,2.71,6.9,41.671,57.743,0.215,48,0.166,-1.099,0.406,NN,7.47,2.23,11.88,2376.0,-1760.0,1594.0,-72.0,10225.0,[KPR2005] 9,41.671,57.743,137.84391690440583,-1.7531447488940615
8,Alessi_18,5.1,310.7,2.63e-08,6.170000000000001e+34,4278.7,2.25,4.07,114.295,-26.386,0.019,24,-1.261,1.79,0.126,NN,6.71,2.48,14.29,7199.0,-3440.0,-6315.0,-320.0,13366.0,Cl Alessi 18,114.295,-26.386,241.42069778095149,-2.554862128220381
9,Alessi_19,25.7,125.9,1.68e-09,3.1899999999999996e+33,1853.3,0.88,5.26,274.741,12.311,0.595,60,-1.005,-7.073,1.71,NN,7.41,0.31,8.79,573.0,425.0,362.0,126.0,7922.0,Cl Alessi 19,274.741,12.311,40.40350169188308,12.710111598110043
10,Alessi_20,9.3,130.5,2.04e-09,3.95e+33,1909.2,1.07,3.36,2.593,58.742,0.235,119,8.195,-2.341,2.311,NN,6.97,0.6,8.08,412.0,-190.0,364.0,-26.0,8538.0,Cl Alessi 20,2.5929,58.742,117.61445752037093,-3.70512458929773
11,Alessi_43,11.5,574.3,4.1e-08,9.410000000000001e+34,7955.4,1.12,6.58,132.631,-41.738,0.29,284,-5.546,3.869,1.032,NN,7.06,0.99,9.81,917.0,-119.0,-909.0,24.0,8507.0,Cl Alessi 43,132.631,-41.738,262.54617296627504,1.5011469237924016
12,Alessi_59,10.0,201.1,7.81e-09,1.67e+34,2844.9,2.69,3.47,103.078,2.196,0.006,10,-0.54,0.283,0.227,notEnoughStars,,,,,,,,,Cl Alessi 59,103.078,2.196,211.07683322572552,1.1955251397075195
13,Alessi_Teutsch_5,18.6,316.0,8.05e-09,1.64e+34,4539.8,1.08,3.7,332.218,61.103,0.427,127,-1.895,-3.207,1.111,NN,7.27,1.02,9.79,907.0,-227.0,876.0,66.0,8611.0,NAME Alessi-Teutsch 5,332.218,61.103,104.5359506777951,4.178761821312051
14,Andrews_Lindsay_5,1.0,1029.7,6.79e-07,2.0199999999999998e+36,13356.9,3.06,5.62,281.079,-4.931,0.023,58,-0.901,-3.562,0.137,tooRed,,,,,,,,,[AL67] Cl* 5,281.079,-4.931,27.73259249916189,-0.6672155253887073
15,Antalova_2,12.0,143.4,2.73e-09,5.39e+33,2083.3,1.54,2.17,262.462,-32.541,0.097,27,2.037,-1.65,0.842,NN,7.08,1.15,10.12,1056.0,1052.0,-89.0,17.0,7287.0,Cl Antalova 2,262.462,-32.541,355.1409886291861,0.9291252467029453
16,Aveni_Hunter_1,10.5,93.3,7.08e-10,1.25e+33,1404.4,1.22,2.8,354.175,48.205,0.496,82,-0.184,-2.087,2.348,NN,7.02,0.75,8.03,402.0,-136.0,368.0,-89.0,8484.0,NAME AVENI-HUNTER 1,354.175,48.205,110.28349428678277,-12.82275730586617
17,BDSB30,3.5,43.2,4.53e-11,4.6799999999999995e+31,702.1,1.63,3.18,333.667,61.433,0.024,33,-1.579,-3.005,1.109,tooRed,,,,,,,,,[BDS2003] 30,333.667,61.433,105.29790466791114,4.050493862355675
18,BDSB91,14.1,136.1,2.32e-09,4.52e+33,1985.4,1.51,2.54,96.319,-10.551,0.036,32,-3.183,1.15,1.033,NN,7.15,1.8,9.91,961.0,-729.0,-600.0,-176.0,9089.0,[BDS2003] 91,96.319,-10.551,219.46813770017636,-10.55362409219557
19,BDSB93,15.8,61.9,1.64e-10,2.39e+32,969.6,1.41,5.23,104.297,-8.202,0.036,32,-2.41,1.021,0.77,NN,7.2,1.77,10.39,1196.0,-903.0,-782.0,-51.0,9276.0,[BDS2003] 93,104.297,-8.202,220.88827869576892,-2.4618216380607376
20,BDSB96,7.9,99.3,8.67e-10,1.56e+33,1487.4,1.33,5.5,106.332,-12.327,0.045,65,-3.843,1.071,0.844,manual,6.9,1.22,10.29,1144.0,-801.0,-815.0,-51.0,9178.0,[BDS2003] 96,106.332,-12.327,225.47675006290893,-2.5610958265426036
21,BH_121,2.6,1251.8,1.07e-06,3.27e+36,16117.6,1.8,12.3,174.661,-63.387,0.154,174,-6.0,0.63,0.387,NN,6.42,1.11,11.91,2413.0,1015.0,-2188.0,-69.0,7644.0,Cl VDBH 121,174.6611,-63.387,294.8863088504742,-1.6580661068234923
22,BH_150,21.9,581.7,1.07e-08,2.11e+34,8459.6,2.82,7.29,204.506,-63.346,0.025,43,-6.395,-1.534,0.178,NN,7.34,3.76,13.73,5580.0,3445.0,-4389.0,-92.0,6574.0,Cl VDBH 150,204.5061,-63.346,308.1284960396192,-0.9452572868910973
23,BH_151,15.8,417.5,1.48e-08,3.15e+34,5925.2,3.43,10.21,205.051,-61.731,0.008,29,-5.853,-1.878,0.176,NN,7.2,4.06,13.49,4989.0,3117.0,-3895.0,51.0,6515.0,Cl VDBH 151,205.0511,-61.731,308.67240780322726,0.5960199252917141
24,BH_205,6.2,452.3,7.56e-08,1.9099999999999998e+35,6099.2,1.84,4.76,254.053,-40.636,0.097,55,-0.15,-1.083,0.569,NN,6.79,1.23,11.03,1604.0,1546.0,-425.0,45.0,6806.0,Cl VDBH 205,254.053,-40.636,344.6314622213202,1.6316073950926189
25,BH_221,10.7,515.5,4.3e-08,1.01e+35,7103.6,1.29,6.64,259.641,-32.334,0.152,133,2.0,-1.568,0.884,NN,7.03,1.09,10.42,1213.0,1204.0,-127.0,63.0,7136.0,Cl VDBH 221,259.641,-32.334,353.9720532454231,3.0139474632391954
26,BH_23,28.8,79.3,4.03e-10,6.71e+32,1211.8,0.43,5.71,123.449,-36.329,0.372,86,-7.101,7.35,2.257,NN,7.46,0.0,8.32,462.0,-127.0,-444.0,-8.0,8479.0,Cl VDBH 23,123.449,-36.329,253.9685438824478,-1.0306171525075762
27,BH_245,4.7,543.2,1.27e-07,3.33e+35,7254.8,4.07,9.08,266.561,-29.7,0.016,31,-0.497,-2.194,0.336,tooRed,,,,,,,,,Cl VDBH 245,266.561,-29.7,359.4185647134536,-0.5136854449909294
28,BH_54,8.7,508.3,6.92e-08,1.71e+35,6897.3,2.84,7.42,132.413,-44.353,0.048,42,-4.759,5.244,0.42,NN,6.94,2.53,11.76,2245.0,-216.0,-2235.0,-10.0,8843.0,Cl VDBH 54,132.413,-44.353,264.4679163953648,-0.27964590228569536
29,BH_56,17.8,311.4,8.71e-09,1.8e+34,4457.7,1.05,4.47,134.355,-43.181,0.215,109,-5.57,5.439,1.078,NN,7.25,0.7,9.62,840.0,-81.0,-836.0,22.0,8462.0,Cl VDBH 56,134.355,-43.181,264.4697221683362,1.5479361118061958
30,Basel_18,27.5,211.8,2.47e-09,4.5999999999999996e+33,3136.0,1.26,5.09,201.967,-62.306,0.06,49,-5.008,-2.05,0.508,NN,7.44,0.65,11.35,1863.0,1125.0,-1485.0,8.0,7366.0,Cl Basel 18,201.967,-62.306,307.1506950100282,0.2669734282414771
31,Berkeley_14A,9.3,97.0,8.04e-10,1.43e+33,1456.0,1.41,1.6,75.278,43.429,0.426,4,-0.225,-2.741,0.882,notEnoughStars,,,,,,,,,Cl Berkeley 14A,75.278,43.429,163.00458412774304,0.8142011160842264
32,Berkeley_15,18.6,1089.5,2.77e-08,5.67e+34,15651.0,1.71,4.62,75.52,44.506,0.06,114,0.782,-0.872,0.339,NN,7.27,2.64,12.36,2958.0,-2816.0,901.0,83.0,11192.0,Cl Berkeley 15,75.52,44.506,162.26050060068448,1.6122367004907423
33,Berkeley_4,21.4,473.4,9.12e-09,1.8100000000000002e+34,6872.9,2.55,8.95,11.291,64.391,0.033,42,-2.421,-0.236,0.296,NN,7.33,2.16,12.47,3121.0,-1665.0,2638.0,83.0,10347.0,Cl Berkeley 4,11.291,64.391,122.25381411264931,1.5275138200738398
34,Berkeley_47,21.9,631.2,1.16e-08,2.2900000000000003e+34,9180.3,2.69,6.86,292.127,17.362,0.029,52,-1.894,-5.444,0.402,NN,7.34,4.02,11.93,2437.0,1482.0,1934.0,-1.0,7125.0,Cl Berkeley 47,292.127,17.362,52.54505205813239,-0.04172371179716403
35,Berkeley_59,1.3,1323.8,1.21e-06,3.7499999999999997e+36,17007.6,2.51,9.58,0.57,67.441,0.137,235,-1.616,-1.764,0.916,tooRed,,,,,,,,,Cl Berkeley 59,0.57,67.441,118.23004026240766,5.0191096066725285
36,Berkeley_62,14.8,660.5,2.71e-08,5.85e+34,9324.2,1.63,5.78,15.309,63.918,0.081,84,-2.15,-0.353,0.36,NN,7.17,2.09,12.12,2660.0,-1487.0,2204.0,49.0,10071.0,Cl Berkeley 62,15.309,63.918,124.00879693469568,1.0667374435162051
37,Berkeley_63,18.2,621.8,1.66e-08,3.4100000000000004e+34,8917.3,2.53,6.77,34.858,63.718,0.041,47,-0.958,0.203,0.172,NN,7.26,2.52,13.67,5412.0,-3652.0,3987.0,235.0,12638.0,Cl Berkeley 63,34.858,63.718,132.4883132197587,2.4908967297647653
38,Berkeley_86,11.0,180.1,1.2e-05,9.25e+36,2569.0,1.74,5.16,305.084,38.688,0.07,23,-3.447,-5.402,0.558,NN,7.04,2.77,11.05,1621.0,374.0,1577.0,36.0,8120.0,Cl Berkeley 86,305.084,38.688,76.6497889720015,1.275987255752327
39,Berkeley_87,8.3,1279.1,1.36e-05,2.28e+37,17298.2,2.62,10.86,305.396,37.433,0.093,112,-3.654,-6.264,0.573,NN,6.92,3.68,11.08,1644.0,404.0,1594.0,10.0,8093.0,Cl Berkeley 87,305.396,37.433,75.75628587771186,0.3610082989258263
40,Berkeley_90,5.1,817.2,3.82e-07,1.09e+36,10704.6,2.59,13.93,308.819,46.843,0.055,82,-2.829,-4.369,0.302,NN,6.71,3.6,12.4,3025.0,269.0,3007.0,200.0,8612.0,Cl Berkeley 90,308.819,46.843,84.88278882023016,3.7934303295685243
41,Berkeley_94,15.5,440.0,1.64e-08,3.5e+34,6233.8,2.31,8.35,335.711,55.862,0.037,39,-3.713,-2.861,0.217,NN,7.19,1.62,13.06,4097.0,-929.0,3990.0,-84.0,10092.0,Cl Berkeley 94,335.711,55.862,103.11813446775244,-1.1853176867772992
42,Berkeley_95,12.0,313.0,2.01e-08,4.570000000000001e+34,4349.8,2.28,7.63,337.082,59.129,0.041,31,-3.401,-2.287,0.248,NN,7.08,3.83,12.96,3907.0,-1042.0,3764.0,81.0,10109.0,Cl Berkeley 95,337.082,59.129,105.47145408021123,1.1974358781900447
43,Berkeley_97,15.1,534.0,2.09e-08,4.48e+34,7552.1,1.7,7.22,339.853,59.005,0.035,76,-2.736,-1.808,0.314,NN,7.18,2.58,12.55,3241.0,-928.0,3105.0,21.0,9774.0,Cl Berkeley 97,339.853,59.005,106.64045008916254,0.37420390388065256
44,Bica_3,15.8,749.0,2.66e-08,5.64e+34,10629.5,3.75,7.47,276.519,-13.058,0.016,70,-0.588,-1.598,0.391,tooRed,,,,,,,,,[BBD2004] Cluster 1,276.519,-13.058,18.445941558037877,-0.4170138812545924
45,Biurakan_2,9.3,297.5,2.32e-08,5.39e+34,4108.6,1.48,6.42,302.283,35.488,0.139,47,-3.169,-6.843,0.542,NN,6.97,0.93,11.18,1723.0,511.0,1645.0,40.0,7999.0,Cl Biurakan 2,302.283,35.488,72.74726847377086,1.359669797732704
46,Bochum_11,6.3,357.9,3.92e-08,9.44e+34,4890.0,2.12,10.95,161.769,-60.096,0.056,61,-6.335,1.742,0.389,NN,6.8,1.27,12.06,2584.0,799.0,-2457.0,-39.0,7931.0,Cl Bochum 11,161.7691,-60.096,288.0115750077363,-0.8772045337418173
47,Bochum_13,8.9,494.2,6.36e-08,1.5599999999999999e+35,6718.0,2.36,9.91,259.333,-35.529,0.105,57,-0.286,-1.284,0.567,manual,6.95,2.63,11.11,1666.0,1646.0,-254.0,40.0,6698.0,Cl Bochum 13,259.333,-35.529,351.2106072969847,1.3831706212090722
48,Bochum_6,6.5,497.9,9.91e-08,2.56e+35,6679.9,1.68,7.57,112.992,-19.416,0.075,75,-2.28,2.308,0.249,NN,6.81,1.59,12.97,3931.0,-2269.0,-3210.0,-15.0,11084.0,Cl Bochum 6,112.992,-19.416,234.74093164196722,-0.22419167382890692
49,COIN-Gaia_16,25.7,135.3,1.81e-09,3.43e+33,1992.5,1.49,3.49,80.179,37.438,0.059,25,1.262,-3.749,0.622,NN,7.41,0.57,10.93,1531.0,-1508.0,264.0,7.0,9852.0,[CKS2019] COIN-Gaia 16,80.179,37.438,170.03828783202528,0.2699329454523906
50,COIN-Gaia_21,28.2,169.3,1.89e-09,3.5e+33,2511.4,1.4,4.08,84.766,28.402,0.098,26,-0.115,-3.849,0.697,NN,7.45,1.09,10.74,1406.0,-1405.0,7.0,-36.0,9745.0,[CKS2019] COIN-Gaia 21,84.766,28.402,179.69624531109784,-1.5036767617277045
51,Collinder_106,24.5,454.7,6.66e-09,1.28e+34,6671.6,1.42,3.87,99.278,6.002,0.186,93,-1.472,0.531,0.635,NN,7.39,0.63,10.89,1505.0,-1353.0,-659.0,-11.0,9716.0,Cl Collinder 106,99.278,6.002,205.95949811782074,-0.43612636181543785
52,Collinder_107,18.2,579.0,1.55e-08,3.17e+34,8303.4,1.43,6.01,99.203,4.972,0.39,108,-1.325,0.659,0.617,NN,7.26,0.95,11.11,1666.0,-1486.0,-752.0,-28.0,9855.0,Cl Collinder 107,99.203,4.972,206.84021060222508,-0.9755170084523144
53,Collinder_132,24.5,196.2,2.87e-09,5.509999999999999e+33,2879.6,0.83,3.37,108.485,-30.758,1.333,86,-4.14,3.732,1.501,NN,7.39,0.0,8.98,624.0,-280.0,-549.0,-98.0,8638.0,Cl Collinder 132,108.485,-30.758,242.9226063893501,-9.103931289641952
54,Collinder_135,26.3,305.4,3.9e-09,7.35e+33,4505.3,0.38,4.4,109.362,-37.044,1.138,324,-9.975,6.157,3.278,NN,7.42,0.01,7.33,292.0,-102.0,-267.0,-56.0,8446.0,Cl Collinder 135,109.3621,-37.044,248.9883652043197,-11.200966148640616
55,Collinder_140,26.9,134.8,1.64e-09,3.08e+33,1991.7,0.4,5.12,110.882,-31.966,0.568,124,-8.074,4.789,2.594,NN,7.43,0.0,7.95,388.0,-162.0,-348.0,-52.0,8510.0,Cl Collinder 140,110.882,-31.966,244.94342690459942,-7.818240171192694
