,Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.),SNR,RAJ2000,DEJ2000,MajDiam,MinDiam,u_MinDiam,type,l_S_1GHz_,S_1GHz_,u_S_1GHz_,Sp-Index,u_Sp-Index,Names,Simbad,Dist2LHAASO
0,1LHAASO J0534+2200u , WCDA ,83.62,22.01,0.004,0,0.04,73603.7,21.1,0.11,2.69,0.01, ,   Crab                  (0.01),G184.6-05.8,83.62916666666665,22.016666666666666,0.11666667,5.0,,F,,900.0,,0.3,,"Crab Nebula, 3C144, SN1054",Simbad,0.01080125045813495
1,1LHAASO J0534+2200u  , KM2A ,83.61,22.04,0.011,0,0.06,14328.1,6.23,0.1,3.19,0.03,2381.4, ,G184.6-05.8,83.62916666666665,22.016666666666666,0.11666667,5.0,,F,,900.0,,0.3,,"Crab Nebula, 3C144, SN1054",Simbad,0.029327929879346137
0,1LHAASO J0617+2234 , WCDA ,94.35,22.57,0.18,0.59,0.08,243.4,1.95,0.27,2.92,0.14, ,   IC 443                (0.14),G189.1+03.0,94.24999999999999,22.566666666666666,0.75,,,C,,165.0,,0.36,,"IC443, 3C157",Simbad,0.0924023884655562
0, 1LHAASO J1809-1918u , KM2A ,272.38,-19.3,0.13,0,0.22,134.6,9.46,1.27,3.51,0.26,88.4,   HESS J1809-193        (0.24) ,G011.0-00.0,272.51666666666665,-19.416666666666668,0.18333334,9.0,,S,,1.3,,0.6,,,Simbad,0.17388687499437522
0, 1LHAASO J1809-1918u , KM2A ,272.38,-19.3,0.13,0,0.22,134.6,9.46,1.27,3.51,0.26,88.4,   HESS J1809-193        (0.24) ,G011.1+00.1,272.44583333333327,-19.2,0.2,10.0,,S,,2.3,,0.4,,,Simbad,0.11774096673930308
0, 1LHAASO J1809-1918u  , WCDA ,272.66,-19.32,0.2,0.35,0.06,54.8,3.46,0.61,2.24,0.06, , ,G011.0-00.0,272.51666666666665,-19.416666666666668,0.18333334,9.0,,S,,1.3,,0.6,,,Simbad,0.1662206437698848
0,1LHAASO J1814-1719u* , WCDA ,273.69,-17.33,0.27,0.71,0.07,118.8,26.5,2.46,2.83,0.06, ,   2HWC J1814-173        (0.16),G013.5+00.2,273.5583333333333,-17.2,0.083333336,4.0,,S,,3.5,?,1.0,?,,Simbad,0.180856424053369
0,1LHAASO J1814-1719u*  , KM2A ,273.27,-17.89,0.17,0,0.27,59.3,4.2,0.75,3.49,0.31,41, ,G012.7-00.0,273.3291666666666,-17.9,0.1,,,S,,0.8,,0.8,,,Simbad,0.05718539294627333
0,1LHAASO J1814-1719u*  , KM2A ,273.27,-17.89,0.17,0,0.27,59.3,4.2,0.75,3.49,0.31,41, ,G012.8-00.0,273.4041666666666,-17.816666666666666,0.05,,,C?,,0.8,,0.5,,,Simbad,0.14726351870127133
0, 1LHAASO J1825-1256u , KM2A ,276.44,-12.94,0.08,0,0.2,259.2,5.08,0.42,3.33,0.13,121,   HESS J1826-130        (0.14) ,G018.6-00.2,276.4791666666667,-12.833333333333334,0.1,,,S,,1.4,,0.4,,,Simbad,0.11329388100575663
