,Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.),Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,Dist2LHAASO
0, 1LHAASO J0056+6346u , KM2A ,14.1,63.77,0.08,0.24,0.03,380.2,1.47,0.1,3.33,0.1,94.1,  ,UBC_412,21.4,533.9,1.03e-08,2.0400000000000002e+34,7751.1,2.64,4.51,12.987,63.785,0.435,37,-1.631,-0.257,0.217,NN,7.33,2.25,12.71,3480.0,-1894.0,2919.0,55.0,10642.0,UBC 412,12.987,63.785,0.4920104010382924
1, 1LHAASO J0056+6346u  , WCDA ,13.78,63.96,0.15,0.33,0.07,106.1,1.45,0.41,2.35,0.13, ,  ,UBC_412,21.4,533.9,1.03e-08,2.0400000000000002e+34,7751.1,2.64,4.51,12.987,63.785,0.435,37,-1.631,-0.257,0.217,NN,7.33,2.25,12.71,3480.0,-1894.0,2919.0,55.0,10642.0,UBC 412,12.987,63.785,0.39060484995900585
0, 1LHAASO J0249+6022 , KM2A ,42.39,60.37,0.16,0.38,0.08,148.8,0.93,0.09,3.82,0.18,  ,  ,IC_1848,15.8,1846.8,6.56e-08,1.3899999999999998e+35,26207.5,1.58,8.28,42.855,60.419,0.6,279,-0.372,-0.315,0.415,NN,7.2,1.75,11.9,2398.0,-1760.0,1628.0,38.0,10230.0,IC 1848,42.855,60.419,0.23488851815155048
0, 1LHAASO J0249+6022  , WCDA ,41.52,60.49,0.4,0.71,0.1,53.3,1.96,0.51,2.52,0.16, ,  ,IC_1848,15.8,1846.8,6.56e-08,1.3899999999999998e+35,26207.5,1.58,8.28,42.855,60.419,0.6,279,-0.372,-0.315,0.415,NN,7.2,1.75,11.9,2398.0,-1760.0,1628.0,38.0,10230.0,IC 1848,42.855,60.419,0.6621139315964065
0,1LHAASO J0500+4454 , WCDA ,75.01,44.92,0.28,0.41,0.07,43.6,0.69,0.16,2.53,0.2, , ,Berkeley_15,18.6,1089.5,2.77e-08,5.67e+34,15651.0,1.71,4.62,75.52,44.506,0.17999999,114,0.782,-0.872,0.339,NN,7.27,2.64,12.36,2958.0,-2816.0,901.0,83.0,11192.0,Cl Berkeley 15,75.52,44.506,0.5502217758767136
0, 1LHAASO J0635+0619 , KM2A ,98.76,6.33,0.23,0.6,0.07,106.1,0.94,0.1,3.67,0.18,  ,   HAWC J0635+070        (0.67),Collinder_106,24.5,454.7,6.66e-09,1.28e+34,6671.6,1.42,3.87,99.278,6.002,0.558,93,-1.472,0.531,0.635,NN,7.39,0.63,10.89,1505.0,-1353.0,-659.0,-11.0,9716.0,Cl Collinder 106,99.278,6.002,0.6105830042822202
0,1LHAASO J1825-1418 , WCDA ,276.29,-14.32,0.19,0.81,0.05,210.2,39.2,2.3,2.98,0.05, ,   HESS J1825-137        (0.56),UBC_343,20.0,762.3,1.69e-08,3.39e+34,11009.2,1.61,5.05,276.989,-14.72,0.354,124,-0.711,-2.685,0.472,NN,7.3,1.68,11.74,2229.0,2128.0,658.0,-62.0,6245.0,UBC 343,276.989,-14.72,0.7860682715218626
0, 1LHAASO J1825-1256u  , WCDA ,276.55,-13.04,0.08,0.24,0.03,231,8.27,0.54,2.61,0.03, , ,Bica_3,15.8,749.0,2.66e-08,5.64e+34,10629.5,3.75,7.47,276.519,-13.058,0.048,70,-0.588,-1.598,0.391,tooRed,,,,,,,,,[BBD2004] Cluster 1,276.519,-13.058,0.035146310492023825
0,1LHAASO J1837-0654u , WCDA* ,279.39,-6.9,0.06,0.34,0.01,1049.8,15.5,0.54,2.92,0.03, ,   HESS J1837-069        (0.05),UBC_101,28.2,525.0,5.84e-09,1.08e+34,7785.7,2.36,5.47,279.496,-7.135,0.21000001,54,-0.319,-3.037,0.413,NN,7.45,2.82,11.69,2175.0,1971.0,921.0,-10.0,6435.0,UBC 101,279.496,-7.135,0.2574759023812037
0,1LHAASO J1837-0654u  , KM2A ,279.31,-6.86,0.09,0.33,0.04,331.2,3.06,0.21,3.7,0.12,25, ,UBC_101,28.2,525.0,5.84e-09,1.08e+34,7785.7,2.36,5.47,279.496,-7.135,0.21000001,54,-0.319,-3.037,0.413,NN,7.45,2.82,11.69,2175.0,1971.0,921.0,-10.0,6435.0,UBC 101,279.496,-7.135,0.33122258813580696
