Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.)
 1LHAASO J0007+5659u , KM2A ,1.86,57,0.12,0,0.18,86.5,0.33,0.05,3.1,0.2,43.6, 
 1LHAASO J0007+5659u  , WCDA , , , , , , ,0,0.27, , , ,
 1LHAASO J0007+7303u , KM2A ,1.91,73.07,0.07,0.17,0.03,361,3.41,0.27,3.4,0.12,171.6,   CTA 1                 (0.12) 
 1LHAASO J0007+7303u  , WCDA ,1.48,73.15,0.1,0,0.22,141.6,5.01,1.11,2.74,0.11, , 
 1LHAASO J0056+6346u , KM2A ,14.1,63.77,0.08,0.24,0.03,380.2,1.47,0.1,3.33,0.1,94.1,  
 1LHAASO J0056+6346u  , WCDA ,13.78,63.96,0.15,0.33,0.07,106.1,1.45,0.41,2.35,0.13, ,  
 1LHAASO J0206+4302u , KM2A ,31.7,43.05,0.13,0,0.27,96,0.24,0.03,2.62,0.16,82.8, 
 1LHAASO J0206+4302u  , WCDA , , , , , , ,0,0.09, , , ,
 1LHAASO J0212+4254u , KM2A ,33.01,42.91,0.2,0,0.31,38.4,0.12,0.03,2.45,0.23,30.2, 
 1LHAASO J0212+4254u  , WCDA , , , , , , ,0,0.07, , , ,
 1LHAASO J0216+4237u , KM2A ,34.1,42.63,0.1,0,0.13,102,0.18,0.03,2.58,0.17,65.6, 
 1LHAASO J0216+4237u  , WCDA , , , , , , ,0,0.2, , , ,
 1LHAASO J0249+6022 , KM2A ,42.39,60.37,0.16,0.38,0.08,148.8,0.93,0.09,3.82,0.18,  ,  
 1LHAASO J0249+6022  , WCDA ,41.52,60.49,0.4,0.71,0.1,53.3,1.96,0.51,2.52,0.16, ,  
 1LHAASO J0339+5307 , KM2A ,54.79,53.13,0.11,0,0.22,144,0.58,0.06,3.64,0.16, , LHAASO J0341+5258 (0.37)
 1LHAASO J0339+5307  , WCDA , , , , , , ,0,0.21, , , ,
 1LHAASO J0343+5254u* , KM2A ,55.79,52.91,0.08,0.2,0.02,388.1,1.07,0.07,3.53,0.1,20.2,   LHAASO J0341+5258     (0.28) 
 1LHAASO J0343+5254u*  , WCDA ,55.34,53.05,0.18,0.33,0.05,94.1,0.29,0.13,1.7,0.19, ,  
 1LHAASO J0359+5406 , KM2A ,59.78,54.1,0.1,0.3,0.04,259.2,0.85,0.06,3.84,0.15,  ,  
 1LHAASO J0359+5406  , WCDA ,59.68,54.21,0.14,0.22,0.05,59.3,0.18,0.12,1.74,0.28, ,  
1LHAASO J0428+5531* , WCDA ,67.23,55.53,0.36,1.18,0.12,153.8,4.73,0.65,2.66,0.1, , 
1LHAASO J0428+5531*  , KM2A ,66.63,54.63,0.18,0.32,0.06,98,0.54,0.06,3.45,0.19,  , 
1LHAASO J0500+4454 , WCDA ,75.01,44.92,0.28,0.41,0.07,43.6,0.69,0.16,2.53,0.2, , 
1LHAASO J0500+4454  , KM2A , , , , , , ,0,0.09, , , ,
 1LHAASO J0534+3533 , KM2A ,83.53,35.56,0.18,0,0.36,60.8,0.19,0.03,4.89,0.53, , 
 1LHAASO J0534+3533  , WCDA ,83.38,35.48,0.18,0,0.36,50.4,0.43,0.11,2.37,0.21, ,
1LHAASO J0534+2200u , WCDA ,83.62,22.01,0.004,0,0.04,73603.7,21.1,0.11,2.69,0.01, ,   Crab                  (0.01)
1LHAASO J0534+2200u  , KM2A ,83.61,22.04,0.011,0,0.06,14328.1,6.23,0.1,3.19,0.03,2381.4, 
 1LHAASO J0542+2311u , KM2A ,85.71,23.2,0.14,0.98,0.05,745.3,2.93,0.12,3.74,0.09,21.2,   HAWC J0543+233        (0.21) 
 1LHAASO J0542+2311u  , WCDA* ,86.07,23.19,0.5,1.45,0.18,136.9,2.08,0.54,1.95,0.13, ,  
1LHAASO J0617+2234 , WCDA ,94.35,22.57,0.18,0.59,0.08,243.4,1.95,0.27,2.92,0.14, ,   IC 443                (0.14)
1LHAASO J0617+2234  , KM2A , , , , , , ,0,0.17, , , ,
 1LHAASO J0622+3754 , KM2A ,95.5,37.9,0.08,0.46,0.03,615,1.42,0.07,3.68,0.1, ,   LHAASO J0621+3755     (0.03) 
 1LHAASO J0622+3754  , WCDA ,95.67,37.93,0.29,0.5,0.09,59.3,0.39,0.17,1.82,0.22, ,  
 1LHAASO J0631+1040 , KM2A ,97.77,10.67,0.11,0,0.3,141.6,0.54,0.06,3.33,0.16,  ,  3HWC J0631+107(0.06) 
 1LHAASO J0631+1040  , WCDA , , , , , , ,0,0.36, , , ,
 1LHAASO J0634+1741u , KM2A ,98.57,17.69,0.1,0.89,0.04,1043.3,4.42,0.15,3.69,0.06,23,   Geminga               (0.54) 
 1LHAASO J0634+1741u  , WCDA ,98.51,17.72,0.28,1.16,0.17,193.2,1.53,0.65,1.65,0.15, ,  
 1LHAASO J0635+0619 , KM2A ,98.76,6.33,0.23,0.6,0.07,106.1,0.94,0.1,3.67,0.18,  ,   HAWC J0635+070        (0.67)
 1LHAASO J0635+0619  , WCDA , , , , , , ,0,0.9, , , ,
 1LHAASO J0633+1647, WCDA, 100.2770, 15.3280, 0.38, 5.96239, 0.30171, 760.73, 3.16993, 0.22222, 2.20641, 0.04486, ,  ext>2 WCDA5
1LHAASO J0633+1647, KM2A, 98.29, 16.79, 0.13, 3.8669, 0.0965, 1789.7, 19.778, 0.493, 3.9454, 0.05, 1789.7, ext>2 KM2A5
 1LHAASO J0703+1405 , KM2A ,105.83,14.1,0.26,1.88,0.09,841,6.3,0.23,3.98,0.08,  ,   2HWC J0700+143        (0.72) 
 1LHAASO J0703+1405  , WCDA ,105.32,14.55,0.48,1.3,0.21,90.2,2.27,0.74,1.98,0.12, ,  
1LHAASO J1104+3810 , WCDA ,166.07,38.18,0.01,0,0.04,5343.6,3.68,0.1,3.41,0.03, ,   Markarian 421         (0.02)
1LHAASO J1104+3810  , KM2A , , , , , , ,0,0.06, , , ,
1LHAASO J1219+2915 , WCDA ,184.98,29.25,0.09,0,0.08,50.4,0.34,0.06,2.67,0.17, , 
1LHAASO J1219+2915  , KM2A , , , , , , ,0,0.05, , , ,
1LHAASO J1653+3943 , WCDA ,253.43,39.73,0.01,0,0.04,4121.6,3.77,0.08,2.94,0.02, ,   Markarian 501         (0.04)
1LHAASO J1653+3943  , KM2A , , , , , , ,0,0.07, , , ,
1LHAASO J1727+5016 , WCDA ,261.89,50.28,0.1,0,0.08,43.6,0.49,0.08,3.09,0.21, ,   1ES 1727+502          (0.14)
1LHAASO J1727+5016  , KM2A , , , , , , ,0,0.03, , , ,
 1LHAASO J1740+0948u , KM2A ,265.03,9.81,0.07,0,0.11,156.2,0.41,0.04,3.13,0.15,37.2,  3HWC J1739+099(0.13) 
 1LHAASO J1740+0948u  , WCDA , , , , , , ,0,0.29, , , ,
 1LHAASO J1809-1918u , KM2A ,272.38,-19.3,0.13,0,0.22,134.6,9.46,1.27,3.51,0.26,88.4,   HESS J1809-193        (0.24) 
 1LHAASO J1809-1918u  , WCDA ,272.66,-19.32,0.2,0.35,0.06,54.8,3.46,0.61,2.24,0.06, , 
 1LHAASO J1813-1245 , KM2A ,273.36,-12.75,0.22,0,0.31,42.2,1.42,0.27,3.66,0.34,  ,   HESS J1813-126        (0.07)
 1LHAASO J1813-1245  , WCDA ,273.35,-12.73,0.21,0,0.32,37.2,2.44,0.44,2.61,0.08, ,
1LHAASO J1814-1719u* , WCDA ,273.69,-17.33,0.27,0.71,0.07,118.8,26.5,2.46,2.83,0.06, ,   2HWC J1814-173        (0.16)
1LHAASO J1814-1719u*  , KM2A ,273.27,-17.89,0.17,0,0.27,59.3,4.2,0.75,3.49,0.31,41, 
 1LHAASO J1814-1636u , KM2A ,273.72,-16.62,0.3,0.68,0.08,132.2,11.9,1.3,3.74,0.2,50.4,   2HWC J1814-173        (0.72)
 1LHAASO J1814-1636u  , WCDA , , , , , , ,0,19.71, , , ,
