HII-region GLON GLAT Radius VLSR_ref Ref Peak e_Peak VLSR e_VLSR FWHM e_FWHM RMS S/N
G33.051-0.078 33.051 -0.078  466  93.8  8   6.8 0.2  95.3  0.3 26.3  0.8  0.43 15.9
G33.080+0.073 33.080  0.073  110  86.9  1   7.7 0.1  90.8  0.3 28.0  0.6  0.37 20.9
G33.176-0.015 33.176 -0.015  185 105.8 12  20.1 0.2 100.2  0.2 28.6  0.4  0.59 34.0
G33.205-0.012 33.205 -0.012   64 105.8 12  14.3 0.2 101.1  0.2 27.3  0.4  0.46 31.1
G33.263+0.067 33.263  0.067   42  98.3  1   2.0 0.1 103.5  0.8 23.8  1.8  0.31  6.5
G33.419-0.004 33.419 -0.004   60  76.5  8   8.9 0.2  73.6  0.9 36.3  1.9  0.56 16.1
G33.643-0.228 33.643 -0.228   42 102.9  1   2.9 0.1 104.1  0.5 21.1  1.2  0.31  9.5
G33.715-0.415 33.715 -0.415   89  53.3  1   3.5 0.2  53.0  0.5 17.5  1.1  0.37  9.4
G33.753-0.063 33.753 -0.063   42 101.7  1   5.3 0.1 100.2  0.3 22.5  0.7  0.32 16.5
G33.809-0.190 33.809 -0.190   60  40.3 12   4.6 0.1  46.2  0.3 22.8  0.7  0.27 16.9
G33.810-0.185 33.810 -0.185   17  40.3 12   5.5 0.2  47.4  0.3 22.5  0.8  0.38 14.5
G33.813-0.149 33.813 -0.149   60  50.0  1   4.0 0.1  49.5  0.3 18.4  0.7  0.25 16.0
G33.882+0.057 33.882  0.057   42  40.8  1   2.6 0.1  41.8  0.7 25.8  1.6  0.33  8.0
G33.884+0.058 33.884  0.058   20  40.8  1   2.6 0.1  41.8  0.7 25.8  1.6  0.33  8.0
G33.915+0.108 33.915  0.108   73  99.0  5   2.3 0.1  94.7  0.7 27.4  1.7  0.30  7.6
G33.942-0.039 33.942 -0.039  118  57.2  9  13.3 0.2  60.2  0.2 27.4  0.6  0.59 22.7
G33.988-0.011 33.988 -0.011   23  38.3  1   3.5 0.2  37.7  0.7 15.6  1.4  0.28 12.5
G33.988-0.011 33.988 -0.011   23  55.8  1   6.7 0.2  56.7  0.4 18.5  0.9  0.28 23.8
G33.991-0.004 33.991 -0.004   23  38.3  1   3.5 0.2  37.7  0.7 15.6  1.4  0.28 12.5
G33.991-0.004 33.991 -0.004   23  55.8  1   6.7 0.2  56.7  0.4 18.5  0.9  0.28 23.8
G34.026-0.058 34.026 -0.058  133  56.3  1  15.0 0.2  55.7  0.1 15.6  0.3  0.31 47.8
G34.041+0.053 34.041  0.053   42  36.4  1   6.3 0.2  36.9  0.6 18.5  1.2  0.34 18.7
G34.047+0.141 34.047  0.141   42  51.5  2   0.5 0.1  54.5  0.9 10.9  2.1  0.14  3.8
G34.089+0.438 34.089  0.438   65  32.6 12   2.1 0.1  34.7  0.6 23.4  1.4  0.24  8.4
G34.105-0.046 34.105 -0.046   56  49.0  2   7.1 0.2  51.9  0.4 15.8  0.7  0.28 25.6
G34.133+0.471 34.133  0.471   42  34.6  1   2.4 0.2  33.8  0.9 23.4  2.1  0.41  5.7
G34.158+0.148 34.158  0.148  213  57.3  1  14.1 0.2  57.4  0.1 18.2  0.3  0.40 34.8
G34.256+0.136 34.256  0.136  101  53.1  6  52.1 0.4  51.9  0.1 32.7  0.3  1.06 49.0
G34.333+0.213 34.333  0.213  147  62.9  1  13.1 0.2  62.9  0.1 17.6  0.3  0.38 34.4
G34.404+0.228 34.404  0.228   60  60.1 12   7.2 0.2  60.3  0.2 13.8  0.4  0.29 24.6
G34.423-0.181 34.423 -0.181  412  46.7  4   0.9 0.1  48.2  0.7 16.4  1.7  0.15  5.8
G34.423-0.181 34.423 -0.181  412  73.7  4   1.9 0.4  75.2  0.5 10.0  1.2  0.15 12.9
G34.423-0.181 34.423 -0.181  412  82.9  4   2.9 0.1  87.2  1.0 18.0  1.7  0.15 19.1
G34.444+0.104 34.444  0.104  202  61.5  4  12.5 0.2  61.6  0.1 15.6  0.2  0.29 43.3
G34.444+0.104 34.444  0.104  202  82.9  4   1.7 0.2  85.7  0.4  6.2  1.0  0.29  6.1
G34.542+0.062 34.542  0.062  105  50.0  2   5.5 0.3  48.1  1.2 18.7  1.7  0.25 22.1
G34.550-1.110 34.550 -1.110  776  44.7  8   9.8 0.2  46.9  0.2 18.4  0.4  0.35 28.3
G34.591+0.244 34.591  0.244   60 -19.4  7   1.2 0.1 -18.2  0.9 15.1  2.1  0.27  4.6
G34.686+0.068 34.686  0.068   42  52.0  1   4.6 0.3  52.0  1.0 28.1  1.0  0.24 18.8
G34.757+0.022 34.757  0.022   60  86.1  3   5.2 0.1  84.9  0.3 23.1  0.8  0.26 19.9
G34.757-0.668 34.757 -0.668  401  52.1  8  17.4 0.2  49.2  0.1 19.9  0.2  0.36 48.2
G34.925-0.082 34.925 -0.082  300  47.2  1  11.5 0.2  49.4  0.1 20.9  0.3  0.35 32.7
G34.940+0.074 34.940  0.074  346  45.6  8   4.7 1.5  45.6  4.9 23.7  4.5  0.19 24.7
G34.997+0.331 34.997  0.331  158  57.2 12   6.9 0.2  56.8  0.3 19.0  0.7  0.35 19.8
G35.040-0.500 35.040 -0.500  133  48.0 12  18.8 0.3  51.2  0.2 22.4  0.4  0.64 29.5
G35.051-0.520 35.051 -0.520   52  48.0 12  18.8 0.3  51.2  0.2 22.4  0.4  0.64 29.5
G35.064+0.330 35.064  0.330  158  57.2 12   6.0 0.9  54.4  0.3 14.3  1.1  0.25 23.6
G35.076-1.518 35.076 -1.518  495  44.8  8  16.2 0.2  44.1  0.1 18.9  0.3  0.41 39.9
G35.099-0.243 35.099 -0.243   60  53.4  7   2.3 0.2  45.0  0.7 19.8  1.6  0.34  6.7
G35.126-0.754 35.126 -0.754  169  34.5  2   2.7 0.1  38.0  0.7 26.2  1.6  0.34  8.0
G35.187+0.893 35.187  0.893  972  76.1  9   3.8 0.1  84.5  0.2 17.0  0.6  0.22 17.3
G35.197-1.756 35.197 -1.756  360  46.0  6  40.9 0.5  45.3  0.1 13.5  0.2  0.89 45.9
G35.244-1.750 35.244 -1.750  124  46.0  6   8.7 0.2  42.3  0.2 23.4  0.5  0.37 23.4
G35.259+0.119 35.259  0.119   42  38.1  1   0.9 0.2  45.0  2.5 10.4  4.7  0.23  3.8
G35.350+0.005 35.350  0.005  166  54.9  4   6.1 0.1  54.1  0.2 21.2  0.6  0.32 19.1
G35.381-1.855 35.381 -1.855  373  46.7  8   9.6 0.2  45.8  0.2 19.9  0.4  0.37 25.6
G35.430-0.260 35.430 -0.260   72  55.0  1   2.6 0.2  53.5  0.6 18.7  1.5  0.37  7.1
G35.467+0.004 35.467  0.004  116  58.6  1   8.6 0.2  57.4  0.2 19.9  0.5  0.32 26.9
G35.468+0.139 35.468  0.139   88  80.9 12   1.4 0.2  90.9  0.9 13.6  2.2  0.35  4.0
G35.543+0.007 35.543  0.007   68  57.5  1   9.1 0.1  56.5  0.2 26.4  0.4  0.25 36.2
G35.560-0.823 35.560 -0.823  876  60.7  8   7.3 0.1  59.2  0.2 18.9  0.4  0.30 24.4
G35.571+0.072 35.571  0.072   60  47.6  5  11.1 0.1  52.3  0.2 24.9  0.4  0.31 35.7
G35.579+0.066 35.579  0.066   16  47.6  5  11.1 0.1  52.3  0.2 24.9  0.4  0.31 35.7
G35.577-0.031 35.577 -0.031   38  52.5 12  25.5 0.2  50.8  0.2 24.7  0.4  0.39 65.6
G35.624-0.197 35.624 -0.197  242  48.7  4   7.7 0.1  49.1  0.1 17.5  0.3  0.20 38.9
G35.650-0.052 35.650 -0.052  332  51.9 12  23.8 0.2  51.4  0.2 31.1  0.4  0.66 36.2
G35.949-0.148 35.949 -0.148   42  50.9  1   0.9 0.3  55.5  0.6  4.1  1.5  0.26  3.5
G36.193-0.171 36.193 -0.171  229  82.6  1   4.0 0.1  83.2  0.2 16.4  0.6  0.22 17.7
G36.268+0.481 36.268  0.481  287  73.3  4   5.9 0.1  74.1  0.2 17.3  0.4  0.25 23.9
G36.268+0.698 36.268  0.698  359  76.5  8  16.4 0.2  75.9  0.1 16.9  0.2  0.30 54.8
G36.344+0.040 36.344  0.040  152  76.9  7   2.8 0.1  78.1  0.7 31.9  1.7  0.35  8.0
G36.348-1.661 36.348 -1.661  937  63.5  8   7.8 0.1  63.0  0.2 20.5  0.4  0.30 26.1
G36.405+0.022 36.405  0.022   60  53.3 12   2.3 0.1  61.8  1.1 25.0  2.5  0.26  8.9
G36.459-0.183 36.459 -0.183  301  72.7  8  12.7 0.2  72.8  0.1 24.5  0.3  0.36 35.4
G36.620-0.556 36.620 -0.556  310  54.1  4   5.7 0.2  53.5  0.3 18.0  0.6  0.33 17.2
G36.870+0.462 36.870  0.462   42 -27.3  1   4.4 0.2 -27.2  0.4 20.3  1.0  0.40 11.0
G36.919+0.482 36.919  0.482   29 -34.1  1   3.3 0.2 -32.1  0.6 23.5  1.4  0.38  8.6
G36.993-0.230 36.993 -0.230   49  79.7  7  13.9 0.2  82.8  0.1 18.9  0.3  0.34 41.4
G37.029-0.024 37.029 -0.024  215  38.0  4   3.2 0.1  37.6  0.4 18.2  0.9  0.27 12.0
G37.029-0.024 37.029 -0.024  215  80.0  4   3.4 0.1  80.7  0.3 15.9  0.8  0.27 12.5
G37.029-0.202 37.029 -0.202  420  81.3  9  15.6 0.2  81.0  0.1 16.7  0.3  0.42 37.2
G37.032+0.139 37.032  0.139  220  41.0  1   3.3 0.1  39.6  0.4 20.6  0.9  0.27 12.3
